PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Kevin Pangos,CLE,29,6-1,179,Gonzaga,Canada,Undrafted,Undrafted,Undrafted
Kevin Porter Jr.,HOU,22,6-4,203,Southern California,USA,2019,1,30
Kevon Looney,GSW,26,6-9,222,UCLA,USA,2015,1,30
Khem Birch,TOR,29,6-9,233,UNLV,Canada,Undrafted,Undrafted,Undrafted
Khris Middleton,MIL,30,6-7,222,Texas A&M,USA,2012,2,39
Killian Hayes,DET,20,6-5,195,None,France,2020,1,7
Killian Tillie,MEM,24,6-9,220,Gonzaga,France,Undrafted,Undrafted,Undrafted
Kira Lewis Jr.,NOP,21,6-1,170,Alabama,USA,2020,1,13
Klay Thompson,GSW,32,6-6,220,Washington State,USA,2011,1,11
Kris Dunn,POR,28,6-3,205,Providence,USA,2016,1,5
Kristaps Porzingis,WAS,26,7-3,240,None,Latvia,2015,1,4
Kyle Anderson,MEM,28,6-9,230,UCLA,USA,2014,1,30
Kyle Guy,MIA,24,6-1,167,Virginia,USA,2019,2,55
Kyle Kuzma,WAS,26,6-9,221,Utah,USA,2017,1,27
Kyle Lowry,MIA,36,6-0,196,Villanova,USA,2006,1,24
Kyrie Irving,BKN,30,6-2,195,Duke,Australia,2011,1,1
LaMarcus Aldridge,BKN,36,6-11,250,Texas-Austin,USA,2006,1,2
LaMelo Ball,CHA,20,6-7,180,None,USA,2020,1,3
Lamar Stevens,CLE,24,6-6,230,Penn State,USA,Undrafted,Undrafted,Undrafted
Lance Stephenson,IND,31,6-5,210,Cincinnati,USA,2010,2,40
Landry Shamet,PHX,25,6-4,190,Wichita State,USA,2018,1,26
Langston Galloway,MIL,30,6-1,200,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted
Larry Nance Jr.,NOP,29,6-7,245,Wyoming,USA,2015,1,27
Lauri Markkanen,CLE,24,6-11,240,Arizona,Finland,2017,1,7
LeBron James,LAL,37,6-9,250,None,USA,2003,1,1
Leandro Bolmaro,MIN,21,6-6,200,None,Argentina,2020,1,23
Lindell Wigginton,MIL,24,6-1,189,Iowa State,Canada,2019,,
Lindy Waters III,OKC,24,6-6,215,Oklahoma State,USA,Undrafted,Undrafted,Undrafted
Lonnie Walker IV,SAS,23,6-4,204,Miami,USA,2018,1,18
Lonzo Ball,CHI,24,6-6,190,UCLA,USA,2017,1,2
Lou Williams,ATL,35,6-2,175,None,USA,2005,2,45
Louis King,SAC,23,6-7,205,Oregon,USA,Undrafted,Undrafted,Undrafted
Luguentz Dort,OKC,23,6-3,215,Arizona State,Canada,Undrafted,Undrafted,Undrafted
Luka Doncic,DAL,23,6-7,230,None,Slovenia,2018,1,3
Luka Garza,DET,23,6-10,243,Iowa,USA,2021,2,52
Luke Kennard,LAC,25,6-5,206,Duke,USA,2017,1,12
Luke Kornet,BOS,26,7-2,250,Vanderbilt,USA,Undrafted,Undrafted,Undrafted
MJ Walker,PHX,24,6-5,213,Florida State,USA,Undrafted,Undrafted,Undrafted
Mac McClung,LAL,23,6-2,185,Texas Tech,USA,Undrafted,Undrafted,Undrafted
Malachi Flynn,TOR,24,6-1,175,San Diego State,USA,2020,1,29
Malcolm Brogdon,IND,29,6-5,229,Virginia,USA,2016,2,36
Malcolm Hill,CHI,26,6-6,220,Illinois,USA,Undrafted,Undrafted,Undrafted
Malik Beasley,MIN,25,6-4,187,Florida State,USA,2016,1,19
Malik Fitts,BOS,24,6-5,230,St. Mary's College,USA,Undrafted,Undrafted,Undrafted
Malik Monk,LAL,24,6-3,200,Kentucky,USA,2017,1,11
Malik Newman,CLE,25,6-3,190,Kansas,USA,2018,,
Mamadi Diakite,OKC,25,6-9,228,Virginia,Guinea,Undrafted,Undrafted,Undrafted
Marcus Garrett,MIA,23,6-5,205,Kansas,USA,Undrafted,Undrafted,Undrafted
Marcus Morris Sr.,LAC,32,6-8,218,Kansas,USA,2011,1,14
Marcus Smart,BOS,28,6-4,220,Oklahoma State,USA,2014,1,6
Markelle Fultz,ORL,23,6-4,209,Washington,USA,2017,1,1
Markieff Morris,MIA,32,6-9,245,Kansas,USA,2011,1,13
Marko Simonovic,CHI,22,6-11,220,None,Montenegro,2020,2,44
Markus Howard,DEN,23,5-10,175,Marquette,USA,Undrafted,Undrafted,Undrafted
Marquese Chriss,DAL,24,6-9,240,Washington,USA,2016,1,8
Marvin Bagley III,DET,23,6-11,235,Duke,USA,2018,1,2
Mason Jones,LAL,23,6-4,200,Arkansas,USA,Undrafted,Undrafted,Undrafted
Mason Plumlee,CHA,32,6-11,254,Duke,USA,2013,1,22
Matisse Thybulle,PHI,25,6-5,201,Washington,USA,2019,1,20
Matt Mooney,NYK,27,6-2,199,Texas Tech,USA,Undrafted,Undrafted,Undrafted
Matt Ryan,BOS,25,6-7,215,Tennessee-Chattanooga,USA,Undrafted,Undrafted,Undrafted
Matt Thomas,CHI,27,6-3,190,Iowa State,USA,Undrafted,Undrafted,Undrafted
Maurice Harkless,SAC,28,6-7,220,St. John's,USA,2012,1,15
Max Strus,MIA,26,6-5,215,DePaul,USA,Undrafted,Undrafted,Undrafted
Maxi Kleber,DAL,30,6-10,240,None,Germany,Undrafted,Undrafted,Undrafted
McKinley Wright IV,MIN,23,5-11,192,Colorado,USA,Undrafted,Undrafted,Undrafted
Melvin Frazier Jr.,OKC,25,6-5,215,Tulane,USA,2018,2,35
Micah Potter,DET,24,6-10,248,Wisconsin,USA,Undrafted,Undrafted,Undrafted
Michael Porter Jr.,DEN,23,6-10,218,Missouri,USA,2018,1,14
Mikal Bridges,PHX,25,6-6,209,Villanova,USA,2018,1,10
Mike Conley,UTA,34,6-1,175,Ohio State,USA,2007,1,4
Mike Muscala,OKC,30,6-10,240,Bucknell,USA,2013,2,44
Miles Bridges,CHA,24,6-7,225,Michigan State,USA,2018,1,12
Miles McBride,NYK,21,6-1,195,West Virginia,USA,2021,2,36
Mitchell Robinson,NYK,24,7-0,240,Western Kentucky,USA,2018,2,36
Miye Oni,UTA,24,6-5,206,Yale,USA,2019,2,58
Mo Bamba,ORL,23,7-0,231,Texas-Austin,USA,2018,1,6
Monte Morris,DEN,26,6-2,183,Iowa State,USA,2017,2,51
Montrezl Harrell,CHA,28,6-7,240,Louisville,USA,2015,2,32
Moritz Wagner,ORL,25,6-11,245,Michigan,Germany,2018,1,25
Moses Brown,CLE,22,7-2,245,UCLA,USA,Undrafted,Undrafted,Undrafted
Moses Moody,GSW,19,6-5,211,Arkansas,USA,2021,1,14
Moses Wright,DAL,23,6-8,226,Georgia Tech,USA,Undrafted,Undrafted,Undrafted
Mychal Mulder,MIA,27,6-3,195,Kentucky,Canada,Undrafted,Undrafted,Undrafted
Myles Powell,PHI,24,6-2,195,Seton Hall,USA,Undrafted,Undrafted,Undrafted
Myles Turner,IND,26,6-11,250,Texas-Austin,USA,2015,1,11
Naji Marshall,NOP,24,6-7,220,Xavier,USA,Undrafted,Undrafted,Undrafted
Nassir Little,POR,22,6-5,220,North Carolina,USA,2019,1,25
Nate Hinton,IND,22,6-5,210,Houston,USA,Undrafted,Undrafted,Undrafted
Nathan Knight,MIN,24,6-10,253,William & Mary,USA,Undrafted,Undrafted,Undrafted
Naz Reid,MIN,22,6-9,264,Louisiana State,USA,Undrafted,Undrafted,Undrafted
Neemias Queta,SAC,22,7-0,248,Utah State,Portugal,2021,2,39
Nemanja Bjelica,GSW,34,6-9,234,None,Serbia,2010,2,35
Nerlens Noel,NYK,28,6-11,220,Kentucky,USA,2013,1,6
Nic Claxton,BKN,23,6-11,215,Georgia,USA,2019,2,31
Nick Richards,CHA,24,7-0,245,Kentucky,Jamaica,2020,2,42
Nickeil Alexander-Walker,UTA,23,6-5,205,Virginia Tech,Canada,2019,1,17
Nicolas Batum,LAC,33,6-8,230,None,France,2008,1,25
Nik Stauskas,BOS,28,6-6,207,Michigan,Canada,2014,1,8
Nikola Jokic,DEN,27,6-11,284,None,Serbia,2014,2,41
Nikola Vucevic,CHI,31,6-10,260,Southern California,Montenegro,2011,1,16
Norman Powell,LAC,28,6-3,215,UCLA,USA,2015,2,46
Norvel Pelle,UTA,29,6-10,231,Iona,USA,Undrafted,Undrafted,Undrafted
OG Anunoby,TOR,24,6-7,232,Indiana,United Kingdo...,2017,1,23
Obi Toppin,NYK,24,6-9,220,Dayton,USA,2020,1,8
Olivier Sarr,OKC,23,7-0,240,Kentucky,France,Undrafted,Undrafted,Undrafted
Omer Yurtseven,MIA,23,6-11,275,Georgetown,Turkey,Undrafted,Undrafted,Undrafted
Onyeka Okongwu,ATL,21,6-8,240,Southern California,USA,2020,1,6
Oshae Brissett,IND,23,6-7,210,Syracuse,Canada,Undrafted,Undrafted,Undrafted
Otto Porter Jr.,GSW,28,6-8,198,Georgetown,USA,2013,1,3
P.J. Dozier,DEN,25,6-6,205,South Carolina,USA,Undrafted,Undrafted,Undrafted
P.J. Tucker,MIA,37,6-5,245,Texas-Austin,USA,2006,2,35
P.J. Washington,CHA,23,6-7,230,Kentucky,USA,2019,1,12
Paris Bass,PHX,26,6-8,200,Detroit Mercy,USA,Undrafted,Undrafted,Undrafted
Pascal Siakam,TOR,28,6-8,230,New Mexico State,Cameroon,2016,1,27
Pat Connaughton,MIL,29,6-5,209,Notre Dame,USA,2015,2,41
Patrick Beverley,MIN,33,6-1,180,Arkansas,USA,2009,2,42
Patrick Williams,CHI,20,6-7,215,Florida State,USA,2020,1,4
Patty Mills,BKN,33,6-0,180,St.Mary's College of California,Australia,2009,2,55
Paul George,LAC,32,6-8,220,Fresno State,USA,2010,1,10
Paul Millsap,PHI,37,6-7,257,Louisiana Tech,USA,2006,2,47
Paul Reed,PHI,22,6-9,210,DePaul,USA,2020,2,58
Paul Watson,OKC,27,6-6,210,Fresno State,USA,Undrafted,Undrafted,Undrafted
Payton Pritchard,BOS,24,6-1,195,Oregon,USA,2020,1,26
Petr Cornelie,DEN,26,6-11,220,None,France,2016,2,53
Precious Achiuwa,TOR,22,6-8,225,Memphis,Nigeria,2020,1,20
Quentin Grimes,NYK,22,6-4,210,Houston,USA,2021,1,25
Quinndary Weatherspoon,GSW,25,6-3,205,Mississippi State,USA,2019,2,49
R.J. Hampton,ORL,21,6-4,175,None,USA,2020,1,24
RJ Barrett,NYK,21,6-6,214,Duke,Canada,2019,1,3
RJ Nembhard Jr.,CLE,23,6-4,200,TCU,USA,Undrafted,Undrafted,Undrafted
Rajon Rondo,CLE,36,6-1,180,Kentucky,USA,2006,1,21
Raul Neto,WAS,29,6-2,180,None,Brazil,2013,2,47
Rayjon Tucker,MIL,24,6-3,209,Arkansas-Little Rock,USA,Undrafted,Undrafted,Undrafted
Reggie Bullock,DAL,31,6-6,205,North Carolina,USA,2013,1,25
Reggie Jackson,LAC,32,6-2,208,Boston College,USA,2011,1,24
Reggie Perry,POR,22,6-8,250,Mississippi State,USA,2020,2,57
Richaun Holmes,SAC,28,6-10,235,Bowling Green,USA,2015,2,37
Ricky Rubio,IND,31,6-2,190,None,Spain,2009,1,5
Rob Edwards,OKC,25,6-5,205,Arizona State,USA,Undrafted,Undrafted,Undrafted
Robert Covington,LAC,31,6-7,209,Tennessee State,USA,Undrafted,Undrafted,Undrafted
Robert Williams III,BOS,24,6-9,237,Texas A&M,USA,2018,1,27
Robert Woodard II,SAS,22,6-6,235,Mississippi State,USA,2020,2,40
Robin Lopez,ORL,34,7-0,281,Stanford,USA,2008,1,15
Rodney Hood,LAC,29,6-8,208,Duke,USA,2014,1,23
Rodney McGruder,DET,30,6-4,205,Kansas State,USA,Undrafted,Undrafted,Undrafted
Romeo Langford,SAS,22,6-5,216,Indiana,USA,2019,1,14
Royce O'Neale,UTA,28,6-5,226,Baylor,USA,Undrafted,Undrafted,Undrafted
Rudy Gay,UTA,35,6-8,250,Connecticut,USA,2006,1,8
Rudy Gobert,UTA,29,7-1,258,None,France,2013,1,27
Rui Hachimura,WAS,24,6-8,230,Gonzaga,Japan,2019,1,9
Russell Westbrook,LAL,33,6-3,200,UCLA,USA,2008,1,4
Ryan Arcidiacono,NYK,28,6-3,195,Villanova,USA,Undrafted,Undrafted,Undrafted
Saben Lee,DET,22,6-2,183,Vanderbilt,USA,2020,2,38
Saddiq Bey,DET,23,6-7,215,Villanova,USA,2020,1,19
Sam Dekker,TOR,28,6-8,219,Wisconsin,USA,2015,1,18
Sam Hauser,BOS,24,6-7,217,Virginia,USA,Undrafted,Undrafted,Undrafted
Sam Merrill,MEM,25,6-4,205,Utah State,USA,2020,2,60
Sandro Mamukelashvili,MIL,22,6-9,240,Seton Hall,Georgia,2021,2,54
Santi Aldama,MEM,21,6-11,215,Loyola-Maryland,Spain,2021,1,30
Scottie Barnes,TOR,20,6-7,225,Florida State,USA,2021,1,4
Scottie Lewis,CHA,22,6-5,185,Florida,USA,2021,2,56
Scotty Hopson,OKC,32,6-7,204,Tennessee,USA,2011,0,0
Sekou Doumbouya,LAL,21,6-9,230,None,France,2019,1,15
Semi Ojeleye,LAC,27,6-6,240,Southern Methodist,USA,2017,2,37
Serge Ibaka,MIL,32,6-10,235,None,Republic of t...,2008,1,24
Seth Curry,BKN,31,6-2,185,Duke,USA,Undrafted,Undrafted,Undrafted
Shai Gilgeous-Alexander,OKC,23,6-6,180,Kentucky,Canada,2018,1,11
Shake Milton,PHI,25,6-5,205,Southern Methodist,USA,2018,2,54
Shaq Buchanan,MEM,25,6-3,190,Murray State,USA,Undrafted,Undrafted,Undrafted
Shaquille Harrison,BKN,28,6-4,195,Tulsa,USA,Undrafted,Undrafted,Undrafted
Sharife Cooper,ATL,20,6-1,176,Auburn,USA,2021,2,48
Skylar Mays,ATL,24,6-4,205,Louisiana State,USA,2020,2,50
Solomon Hill,ATL,31,6-6,226,Arizona,USA,2013,1,23
Spencer Dinwiddie,DAL,29,6-6,215,Colorado,USA,2014,2,38
Stanley Johnson,LAL,25,6-6,242,Arizona,USA,2015,1,8
Stephen Curry,GSW,34,6-2,185,Davidson,USA,2009,1,7
Sterling Brown,DAL,27,6-5,219,Southern Methodist,USA,2017,2,46
Steven Adams,MEM,28,6-11,265,Pittsburgh,New Zealand,2013,1,12
Svi Mykhailiuk,TOR,24,6-7,205,Kansas,Ukraine,2018,2,47
T.J. McConnell,IND,30,6-1,190,Arizona,USA,2015,0,
Tacko Fall,CLE,26,7-6,311,Central Florida,Senegal,Undrafted,Undrafted,Undrafted
Taj Gibson,NYK,36,6-9,232,Southern California,USA,2009,1,26
Talen Horton-Tucker,LAL,21,6-4,234,Iowa State,USA,2019,2,46
Taurean Prince,MIN,28,6-6,218,Baylor,USA,2016,1,12
Terance Mann,LAC,25,6-5,215,Florida State,USA,2019,2,48
Terence Davis,SAC,24,6-4,201,Mississippi,USA,Undrafted,Undrafted,Undrafted
Terrence Ross,ORL,31,6-6,206,Washington,USA,2012,1,8
Terry Rozier,CHA,28,6-1,190,Louisville,USA,2015,1,16
Terry Taylor,IND,22,6-5,230,Austin Peay,USA,Undrafted,Undrafted,Undrafted
Thaddeus Young,TOR,33,6-8,235,Georgia Tech,USA,2007,1,12
Thanasis Antetokounmpo,MIL,29,6-6,219,None,Greece,2014,2,51
Theo Maledon,OKC,20,6-4,175,None,France,2020,2,34
Theo Pinson,DAL,26,6-5,212,North Carolina,USA,Undrafted,Undrafted,Undrafted
Thomas Bryant,WAS,24,6-10,248,Indiana,USA,2017,2,42
Tim Frazier,CLE,31,6-0,170,Penn State,USA,Undrafted,Undrafted,Undrafted
Tim Hardaway Jr.,DAL,30,6-5,205,Michigan,USA,2013,1,24
Timothe Luwawu-Cabarrot,ATL,27,6-7,215,None,France,2016,1,24
Tobias Harris,PHI,29,6-7,226,Tennessee,USA,2011,1,19
Tomas Satoransky,WAS,30,6-7,210,None,Czech Republi...,2012,2,32
Tony Bradley,CHI,24,6-10,248,North Carolina,USA,2017,1,28
Tony Snell,NOP,30,6-6,213,New Mexico,USA,2013,1,20
Torrey Craig,PHX,31,6-7,221,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted
Trae Young,ATL,23,6-1,164,Oklahoma,USA,2018,1,5
Trayvon Palmer,DET,27,6-6,200,Chicago State,USA,Undrafted,Undrafted,Undrafted
Tre Jones,SAS,22,6-1,185,Duke,USA,2020,2,41
Tre Mann,OKC,21,6-3,178,Florida,USA,2021,1,18
Tremont Waters,WAS,24,5-10,175,Louisiana State,USA,2019,2,51
Trendon Watford,POR,21,6-8,237,Louisiana State,USA,Undrafted,Undrafted,Undrafted
Trent Forrest,UTA,23,6-4,210,Florida State,USA,Undrafted,Undrafted,Undrafted
Trevelin Queen,HOU,25,6-6,190,New Mexico State,USA,Undrafted,Undrafted,Undrafted
Trevon Scott,CLE,25,6-8,225,Cincinnati,USA,Undrafted,Undrafted,Undrafted
Trevor Ariza,LAL,36,6-8,215,UCLA,USA,2004,2,43
Trey Burke,DAL,29,6-0,185,Michigan,USA,2013,1,9
Trey Lyles,SAC,26,6-9,234,Kentucky,Canada,2015,1,12
Trey Murphy III,NOP,21,6-8,206,Virginia,USA,2021,1,17
Tristan Thompson,CHI,31,6-9,254,Texas-Austin,Canada,2011,1,4
Troy Brown Jr.,CHI,22,6-6,215,Oregon,USA,2018,1,15
Ty Jerome,OKC,24,6-5,195,Virginia,USA,2019,1,24
Tyler Cook,CHI,24,6-8,255,Iowa,USA,Undrafted,Undrafted,Undrafted
Tyler Hall,NYK,25,6-5,209,Montana State,USA,Undrafted,Undrafted,Undrafted
Tyler Herro,MIA,22,6-5,195,Kentucky,USA,2019,1,13
Tyler Johnson,SAS,30,6-3,186,Fresno State,USA,Undrafted,Undrafted,Undrafted
Tyrell Terry,MEM,21,6-2,160,Stanford,USA,2020,2,31
Tyrese Haliburton,IND,22,6-5,185,Iowa State,USA,2020,1,12
Tyrese Maxey,PHI,21,6-2,200,Kentucky,USA,2020,1,21
Tyrone Wallace,NOP,27,6-5,198,California,USA,2016,2,60
Tyus Jones,MEM,26,6-0,196,Duke,USA,2015,1,24
Udoka Azubuike,UTA,22,7-0,270,Kansas,Nigeria,2020,1,27
Udonis Haslem,MIA,41,6-8,235,Florida,USA,Undrafted,Undrafted,Undrafted
Usman Garuba,HOU,20,6-8,229,None,Spain,2021,1,23
Vernon Carey Jr.,WAS,21,6-9,270,Duke,USA,2020,2,32
Victor Oladipo,MIA,30,6-4,213,Indiana,USA,2013,1,2
Vit Krejci,OKC,21,6-8,195,None,Czech Republi...,2020,2,37
Vlatko Cancar,DEN,25,6-8,236,None,Slovenia,2017,2,49
Wayne Ellington,LAL,34,6-4,207,North Carolina,USA,2009,1,28
Wayne Selden,NYK,27,6-4,232,Kansas,USA,2016,,
Wendell Carter Jr.,ORL,23,6-10,270,Duke,USA,2018,1,7
Wenyen Gabriel,LAL,25,6-9,205,Kentucky,South Sudan,Undrafted,Undrafted,Undrafted
Wes Iwundu,ATL,27,6-6,195,Kansas State,USA,2017,2,33
Wesley Matthews,MIL,35,6-4,220,Marquette,USA,Undrafted,Undrafted,Undrafted
Will Barton,DEN,31,6-5,181,Memphis,USA,2012,2,40
Willie Cauley-Stein,PHI,28,7-0,240,Kentucky,USA,2015,1,6
Willy Hernangomez,NOP,27,6-11,250,None,Spain,2015,2,35
Xavier Moon,LAC,27,6-2,165,Morehead State,USA,Undrafted,Undrafted,Undrafted
Xavier Sneed,UTA,24,6-5,215,Kansas State,USA,Undrafted,Undrafted,Undrafted
Xavier Tillman,MEM,23,6-8,245,Michigan State,USA,2020,2,35
Yuta Watanabe,TOR,27,6-9,215,George Washington,Japan,Undrafted,Undrafted,Undrafted
Yves Pons,MEM,23,6-5,206,Tennessee,France,Undrafted,Undrafted,Undrafted
Zach Collins,SAS,24,6-11,250,Gonzaga,USA,2017,1,10
Zach LaVine,CHI,27,6-5,200,UCLA,USA,2014,1,13
Zavier Simpson,OKC,25,6-0,190,Michigan,USA,Undrafted,Undrafted,Undrafted
Zeke Nnaji,DEN,21,6-9,240,Arizona,USA,2020,1,22
Ziaire Williams,MEM,20,6-9,185,Stanford,USA,2021,1,10
Zylan Cheatham,UTA,26,6-5,220,Arizona State,USA,Undrafted,Undrafted,Undrafted
