PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Marquese Chriss,GSW,23,6-9,240,Washington,USA,2016,1,8
Marvin Bagley III,SAC,22,6-11,235,Duke,USA,2018,1,2
Mason Jones,PHI,22,6-4,200,Arkansas,USA,Undrafted,Undrafted,Undrafted
Mason Plumlee,DET,31,6-11,254,Duke,USA,2013,1,22
Matisse Thybulle,PHI,24,6-5,201,Washington,USA,2019,1,20
Matt Thomas,UTA,26,6-4,190,Iowa State,USA,Undrafted,Undrafted,Undrafted
Matthew Dellavedova,CLE,30,6-3,200,St.Mary's College of California,Australia,Undrafted,Undrafted,Undrafted
Maurice Harkless,SAC,28,6-7,220,St. John's,USA,2012,1,15
Max Strus,MIA,25,6-5,215,DePaul,USA,Undrafted,Undrafted,Undrafted
Maxi Kleber,DAL,29,6-10,240,None,Germany,Undrafted,Undrafted,Undrafted
Meyers Leonard,MIA,29,7-0,260,Illinois,USA,2012,1,11
Mfiondu Kabengele,CLE,23,6-9,250,Florida State,Canada,2019,1,27
Michael Carter-Williams,ORL,29,6-5,190,Syracuse,USA,2013,1,11
Michael Porter Jr.,DEN,23,6-10,218,Missouri,USA,2018,1,14
Mikal Bridges,PHX,24,6-6,209,Villanova,USA,2018,1,10
Mike Conley,UTA,33,6-1,175,Ohio State,USA,2007,1,4
Mike James,BKN,30,6-1,175,Lamar,USA,Undrafted,Undrafted,Undrafted
Mike Muscala,OKC,29,6-10,240,Bucknell,USA,2013,2,44
Mike Scott,PHI,32,6-7,237,Virginia,USA,2012,2,43
Miles Bridges,CHA,23,6-6,225,Michigan State,USA,2018,1,12
Mitchell Robinson,NYK,23,7-0,240,Western Kentucky,USA,2018,2,36
Miye Oni,UTA,23,6-5,206,Yale,USA,2019,2,58
Mo Bamba,ORL,23,7-0,231,Texas-Austin,USA,2018,1,6
Monte Morris,DEN,26,6-2,183,Iowa State,USA,2017,2,51
Montrezl Harrell,LAL,27,6-7,240,Louisville,USA,2015,2,32
Moritz Wagner,ORL,24,6-11,245,Michigan,Germany,2018,1,25
Moses Brown,BOS,21,7-2,245,UCLA,USA,Undrafted,Undrafted,Undrafted
Mychal Mulder,GSW,27,6-3,184,Kentucky,Canada,Undrafted,Undrafted,Undrafted
Myles Turner,IND,25,6-11,250,Texas-Austin,USA,2015,1,11
Naji Marshall,NOP,23,6-7,220,Xavier,USA,Undrafted,Undrafted,Undrafted
Nassir Little,POR,21,6-5,220,North Carolina,USA,2019,1,25
Nate Darling,CHA,22,6-6,200,Delaware,Canada,Undrafted,Undrafted,Undrafted
Nate Hinton,DAL,22,6-5,210,Houston,USA,Undrafted,Undrafted,Undrafted
Nathan Knight,ATL,23,6-10,253,William & Mary,USA,Undrafted,Undrafted,Undrafted
Naz Reid,MIN,21,6-9,264,Louisiana State,USA,Undrafted,Undrafted,Undrafted
Nemanja Bjelica,MIA,33,6-10,234,None,Serbia,2010,2,35
Nerlens Noel,NYK,27,6-11,220,Kentucky,USA,2013,1,6
Nic Claxton,BKN,22,6-11,215,Georgia,USA,2019,2,31
Nick Richards,CHA,23,7-0,245,Kentucky,Jamaica,2020,2,42
Nickeil Alexander-Walker,NOP,22,6-6,205,Virginia Tech,Canada,2019,1,17
Nico Mannion,GSW,20,6-2,190,Arizona,Italy,2020,2,48
Nicolas Batum,LAC,32,6-8,230,None,France,2008,1,25
Nicolo Melli,DAL,30,6-9,236,None,Italy,Undrafted,Undrafted,Undrafted
Nikola Jokic,DEN,26,6-11,284,None,Serbia,2014,2,41
Nikola Vucevic,CHI,30,6-11,260,Southern California,Montenegro,2011,1,16
Noah Vonleh,BKN,25,6-10,257,Indiana,USA,2014,1,9
Norman Powell,POR,28,6-3,215,UCLA,USA,2015,2,46
Norvel Pelle,NYK,28,6-10,231,Iona,USA,Undrafted,Undrafted,Undrafted
OG Anunoby,TOR,23,6-7,232,Indiana,United Kingdo...,2017,1,23
Obi Toppin,NYK,23,6-9,220,Dayton,USA,2020,1,8
Onyeka Okongwu,ATL,20,6-8,235,Southern California,USA,2020,1,6
Oshae Brissett,IND,23,6-7,210,Syracuse,Canada,Undrafted,Undrafted,Undrafted
Otto Porter Jr.,ORL,28,6-8,198,Georgetown,USA,2013,1,3
P.J. Dozier,DEN,24,6-6,205,South Carolina,USA,Undrafted,Undrafted,Undrafted
P.J. Tucker,MIL,36,6-5,245,Texas-Austin,USA,2006,2,35
P.J. Washington,CHA,22,6-7,230,Kentucky,USA,2019,1,12
Pascal Siakam,TOR,27,6-9,230,New Mexico State,Cameroon,2016,1,27
Pat Connaughton,MIL,28,6-5,209,Notre Dame,USA,2015,2,41
Patrick Beverley,LAC,32,6-1,180,Arkansas,USA,2009,2,42
Patrick McCaw,TOR,25,6-7,181,UNLV,USA,2016,2,38
Patrick Patterson,LAC,32,6-8,235,Kentucky,USA,2010,1,14
Patrick Williams,CHI,19,6-7,215,Florida State,USA,2020,1,4
Patty Mills,SAS,32,6-1,180,St.Mary's College of California,Australia,2009,2,55
Paul George,LAC,31,6-8,220,Fresno State,USA,2010,1,10
Paul Millsap,DEN,36,6-7,257,Louisiana Tech,USA,2006,2,47
Paul Reed,PHI,22,6-9,210,DePaul,USA,2020,2,58
Paul Watson,TOR,26,6-6,210,Fresno State,USA,Undrafted,Undrafted,Undrafted
Payton Pritchard,BOS,23,6-1,195,Oregon,USA,2020,1,26
Precious Achiuwa,MIA,21,6-8,225,Memphis,Nigeria,2020,1,20
Quinn Cook,CLE,28,6-1,180,Duke,USA,Undrafted,Undrafted,Undrafted
Quinndary Weatherspoon,SAS,24,6-3,205,Mississippi State,USA,2019,2,49
R.J. Hampton,ORL,20,6-4,175,None,USA,2020,1,24
RJ Barrett,NYK,21,6-6,214,Duke,Canada,2019,1,3
Rajon Rondo,LAC,35,6-1,180,Kentucky,USA,2006,1,21
Raul Neto,WAS,29,6-1,180,None,Brazil,2013,2,47
Ray Spalding,HOU,24,6-9,225,Louisville,USA,2018,2,56
Rayjon Tucker,PHI,23,6-3,209,Arkansas-Little Rock,USA,Undrafted,Undrafted,Undrafted
Reggie Bullock,NYK,30,6-6,205,North Carolina,USA,2013,1,25
Reggie Jackson,LAC,31,6-2,208,Boston College,USA,2011,1,24
Reggie Perry,BKN,21,6-8,250,Mississippi State,USA,2020,2,57
Richaun Holmes,SAC,27,6-10,235,Bowling Green,USA,2015,2,37
Ricky Rubio,MIN,30,6-3,190,None,Spain,2009,1,5
Robert Covington,POR,30,6-7,209,Tennessee State,USA,Undrafted,Undrafted,Undrafted
Robert Franks,ORL,24,6-7,225,Washington State,USA,2019,,
Robert Williams III,BOS,23,6-8,237,Texas A&M,USA,2018,1,27
Robert Woodard II,SAC,21,6-6,235,Mississippi State,USA,2020,2,40
Robin Lopez,WAS,33,7-0,281,Stanford,USA,2008,1,15
Rodions Kurucs,MIL,23,6-9,228,None,Latvia,2018,2,40
Rodney Hood,TOR,28,6-8,208,Duke,USA,2014,1,23
Rodney McGruder,DET,29,6-4,205,Kansas State,USA,Undrafted,Undrafted,Undrafted
Romeo Langford,BOS,21,6-4,216,Indiana,USA,2019,1,14
Rondae Hollis-Jefferson,POR,26,6-6,217,Arizona,USA,2015,1,23
Royce O'Neale,UTA,28,6-4,226,Baylor,USA,Undrafted,Undrafted,Undrafted
Rudy Gay,SAS,34,6-8,250,Connecticut,USA,2006,1,8
Rudy Gobert,UTA,29,7-1,258,None,France,2013,1,27
Rui Hachimura,WAS,23,6-8,230,Gonzaga,Japan,2019,1,9
Russell Westbrook,WAS,32,6-3,200,UCLA,USA,2008,1,4
Ryan Arcidiacono,CHI,27,6-3,195,Villanova,USA,Undrafted,Undrafted,Undrafted
Saben Lee,DET,22,6-2,183,Vanderbilt,USA,2020,2,38
Saddiq Bey,DET,22,6-7,215,Villanova,USA,2020,1,19
Sam Merrill,MIL,25,6-4,205,Utah State,USA,2020,2,60
Sean McDermott,MEM,24,6-6,195,Butler,USA,Undrafted,Undrafted,Undrafted
Sekou Doumbouya,DET,20,6-8,230,None,France,2019,1,15
Semi Ojeleye,BOS,26,6-6,240,Southern Methodist,USA,2017,2,37
Serge Ibaka,LAC,31,6-10,235,None,Republic of t...,2008,1,24
Seth Curry,PHI,30,6-2,185,Duke,USA,Undrafted,Undrafted,Undrafted
Shai Gilgeous-Alexander,OKC,22,6-6,180,Kentucky,Canada,2018,1,11
Shake Milton,PHI,24,6-5,205,Southern Methodist,USA,2018,2,54
Shaquille Harrison,DEN,27,6-7,190,Tulsa,USA,Undrafted,Undrafted,Undrafted
Sindarius Thornwell,ORL,26,6-4,215,South Carolina,USA,2017,2,48
Skylar Mays,ATL,23,6-4,205,Louisiana State,USA,2020,2,50
Solomon Hill,ATL,30,6-6,226,Arizona,USA,2013,1,23
Spencer Dinwiddie,BKN,28,6-5,215,Colorado,USA,2014,2,38
Stanley Johnson,TOR,25,6-6,242,Arizona,USA,2015,1,8
Stephen Curry,GSW,33,6-3,185,Davidson,USA,2009,1,7
Sterling Brown,HOU,26,6-5,219,Southern Methodist,USA,2017,2,46
Steven Adams,NOP,27,6-11,265,Pittsburgh,New Zealand,2013,1,12
Svi Mykhailiuk,OKC,24,6-7,205,Kansas,Ukraine,2018,2,47
T.J. Leaf,POR,24,6-10,222,UCLA,USA,2017,1,18
T.J. McConnell,IND,29,6-1,190,Arizona,USA,2015,0,
T.J. Warren,IND,27,6-8,220,North Carolina State,USA,2014,1,14
Tacko Fall,BOS,25,7-5,311,Central Florida,Senegal,Undrafted,Undrafted,Undrafted
Taj Gibson,NYK,36,6-9,232,Southern California,USA,2009,1,26
Talen Horton-Tucker,LAL,20,6-4,234,Iowa State,USA,2019,2,46
Taurean Prince,CLE,27,6-7,218,Baylor,USA,2016,1,12
Terance Mann,LAC,24,6-5,215,Florida State,USA,2019,2,48
Terence Davis,SAC,24,6-4,201,Mississippi,USA,Undrafted,Undrafted,Undrafted
Terrance Ferguson,PHI,23,6-6,190,None,USA,2017,1,21
Terrence Ross,ORL,30,6-6,206,Washington,USA,2012,1,8
Terry Rozier,CHA,27,6-1,190,Louisville,USA,2015,1,16
Thaddeus Young,CHI,33,6-8,235,Georgia Tech,USA,2007,1,12
Thanasis Antetokounmpo,MIL,28,6-6,219,None,Greece,2014,2,51
Theo Maledon,OKC,20,6-4,175,None,France,2020,2,34
Theo Pinson,NYK,25,6-5,212,North Carolina,USA,Undrafted,Undrafted,Undrafted
Thomas Bryant,WAS,23,6-10,248,Indiana,USA,2017,2,42
Thon Maker,CLE,24,7-0,221,None,South Sudan,2016,1,10
Tim Frazier,MEM,30,6-0,170,Penn State,USA,Undrafted,Undrafted,Undrafted
Tim Hardaway Jr.,DAL,29,6-5,205,Michigan,USA,2013,1,24
Timothe Luwawu-Cabarrot,BKN,26,6-7,220,None,France,2016,1,24
Tobias Harris,PHI,28,6-8,226,Tennessee,USA,2011,1,19
Tomas Satoransky,CHI,29,6-7,210,None,Czech Republi...,2012,2,32
Tony Bradley,OKC,23,6-10,248,North Carolina,USA,2017,1,28
Tony Snell,ATL,29,6-6,213,New Mexico,USA,2013,1,20
Torrey Craig,PHX,30,6-7,221,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted
Trae Young,ATL,22,6-1,180,Oklahoma,USA,2018,1,5
Tre Jones,SAS,21,6-1,185,Duke,USA,2020,2,41
Tremont Waters,BOS,23,5-10,175,Louisiana State,USA,2019,2,51
Trent Forrest,UTA,23,6-4,210,Florida State,USA,Undrafted,Undrafted,Undrafted
Trevor Ariza,MIA,36,6-8,215,UCLA,USA,2004,2,43
Trey Burke,DAL,28,6-0,185,Michigan,USA,2013,1,9
Trey Lyles,SAS,25,6-9,234,Kentucky,Canada,2015,1,12
Tristan Thompson,BOS,30,6-9,254,Texas-Austin,Canada,2011,1,4
Troy Brown Jr.,CHI,21,6-6,215,Oregon,USA,2018,1,15
Ty Jerome,OKC,23,6-5,195,Virginia,USA,2019,1,24
Ty-Shon Alexander,PHX,22,6-3,195,Creighton,USA,Undrafted,Undrafted,Undrafted
Tyler Bey,DAL,23,6-7,215,Colorado,USA,2020,2,36
Tyler Cook,DET,23,6-8,255,Iowa,USA,Undrafted,Undrafted,Undrafted
Tyler Herro,MIA,21,6-5,195,Kentucky,USA,2019,1,13
Tyler Johnson,BKN,29,6-3,186,Fresno State,USA,Undrafted,Undrafted,Undrafted
Tyrell Terry,DAL,20,6-2,160,Stanford,USA,2020,2,31
Tyrese Haliburton,SAC,21,6-5,185,Iowa State,USA,2020,1,12
Tyrese Maxey,PHI,20,6-2,200,Kentucky,USA,2020,1,21
Tyus Jones,MEM,25,6-0,196,Duke,USA,2015,1,24
Udoka Azubuike,UTA,21,6-10,280,Kansas,Nigeria,2020,1,27
Udonis Haslem,MIA,41,6-8,235,Florida,USA,Undrafted,Undrafted,Undrafted
Vernon Carey Jr.,CHA,20,6-9,270,Duke,USA,2020,2,32
Victor Oladipo,MIA,29,6-4,213,Indiana,USA,2013,1,2
Vincent Poirier,PHI,27,7-0,235,None,France,Undrafted,Undrafted,Undrafted
Vlatko Cancar,DEN,24,6-8,236,None,Slovenia,2017,2,49
Wayne Ellington,DET,33,6-4,207,North Carolina,USA,2009,1,28
Wendell Carter Jr.,ORL,22,6-10,270,Duke,USA,2018,1,7
Wenyen Gabriel,NOP,24,6-9,205,Kentucky,South Sudan,Undrafted,Undrafted,Undrafted
Wes Iwundu,NOP,26,6-6,195,Kansas State,USA,2017,2,33
Wesley Matthews,LAL,34,6-4,220,Marquette,USA,Undrafted,Undrafted,Undrafted
Will Barton,DEN,30,6-6,181,Memphis,USA,2012,2,40
Will Magnay,NOP,23,6-10,234,None,Australia,Undrafted,Undrafted,Undrafted
Willie Cauley-Stein,DAL,27,7-0,240,Kentucky,USA,2015,1,6
Willy Hernangomez,NOP,27,6-11,250,None,Spain,2015,2,35
Xavier Tillman,MEM,22,6-8,245,Michigan State,USA,2020,2,35
Yogi Ferrell,LAC,28,6-0,178,Indiana,USA,Undrafted,Undrafted,Undrafted
Yuta Watanabe,TOR,26,6-9,215,George Washington,Japan,Undrafted,Undrafted,Undrafted
Zach LaVine,CHI,26,6-5,200,UCLA,USA,2014,1,13
Zeke Nnaji,DEN,20,6-9,240,Arizona,USA,2020,1,22
Zion Williamson,NOP,20,6-7,284,Duke,USA,2019,1,1
