PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Dion Waiters,LAL,28,6-3,210,Syracuse,USA,2012,1,4
Domantas Sabonis,IND,24,6-11,240,Gonzaga,Lithuania,2016,1,11
Donovan Mitchell,UTA,23,6-1,215,Louisville,USA,2017,1,13
Donta Hall,BKN,22,6-9,229,Alabama,USA,Undrafted,Undrafted,Undrafted
Donte DiVincenzo,MIL,23,6-4,203,Villanova,USA,2018,1,17
Dorian Finney-Smith,DAL,27,6-7,220,Florida,USA,Undrafted,Undrafted,Undrafted
Doug McDermott,IND,28,6-7,225,Creighton,USA,2014,1,11
Dragan Bender,GSW,22,7-0,249,None,Croatia,2016,1,4
Draymond Green,GSW,30,6-6,230,Michigan State,USA,2012,2,35
Drew Eubanks,SAS,23,6-9,245,Oregon State,USA,Undrafted,Undrafted,Undrafted
Duncan Robinson,MIA,26,6-7,215,Michigan,USA,Undrafted,Undrafted,Undrafted
Dusty Hannahs,MEM,26,6-3,210,Arkansas,USA,2017,,
Dwayne Bacon,CHA,24,6-6,221,Florida State,USA,2017,2,40
Dwight Howard,LAL,34,6-10,265,None,USA,2004,1,1
Dwight Powell,DAL,28,6-10,240,Stanford,Canada,2014,2,45
Dzanan Musa,BKN,21,6-9,217,None,Bosnia and He...,2018,1,29
E'Twaun Moore,NOP,31,6-3,191,Purdue,USA,2011,2,55
Ed Davis,UTA,31,6-9,218,North Carolina,USA,2010,1,13
Edmond Sumner,IND,24,6-4,196,Xavier,USA,2017,2,52
Elfrid Payton,NYK,26,6-3,195,Louisana-Lafayette,USA,2014,1,10
Elie Okobo,PHX,22,6-3,190,None,France,2018,2,31
Emmanuel Mudiay,UTA,24,6-3,200,None,Democratic Re...,2015,1,7
Enes Freedom,BOS,28,6-10,250,None,Turkey,2011,1,3
Eric Bledsoe,MIL,30,6-1,214,Kentucky,USA,2010,1,18
Eric Gordon,HOU,31,6-3,215,Indiana,USA,2008,1,7
Eric Mika,SAC,25,6-10,233,Brigham Young,USA,2017,,
Eric Paschall,GSW,23,6-6,255,Villanova,USA,2019,2,41
Ersan Ilyasova,MIL,33,6-9,235,None,Turkey,2005,2,36
Evan Fournier,ORL,27,6-7,205,None,France,2012,1,20
Evan Turner,MIN,31,6-6,220,Ohio State,USA,2010,1,2
Frank Jackson,NOP,22,6-3,205,Duke,USA,2017,2,31
Frank Kaminsky,PHX,27,7-0,240,Wisconsin,USA,2015,1,9
Frank Mason III,MIL,26,5-11,190,Kansas,USA,2017,2,34
Frank Ntilikina,NYK,21,6-4,200,None,France,2017,1,8
Fred VanVleet,TOR,26,6-1,197,Wichita State,USA,Undrafted,Undrafted,Undrafted
Furkan Korkmaz,PHI,22,6-7,202,None,Turkey,2016,1,26
Gabe Vincent,MIA,24,6-3,200,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted
Garrett Temple,BKN,34,6-5,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted
Garrison Mathews,WAS,23,6-5,215,Lipscomb,USA,Undrafted,Undrafted,Undrafted
Gary Clark,ORL,25,6-6,225,Cincinnati,USA,Undrafted,Undrafted,Undrafted
Gary Harris,DEN,25,6-4,210,Michigan State,USA,2014,1,19
Gary Payton II,WAS,27,6-3,195,Oregon State,USA,Undrafted,Undrafted,Undrafted
Gary Trent Jr.,POR,21,6-5,209,Duke,USA,2018,2,37
George Hill,MIL,34,6-3,188,Indiana-Purdue Indianapolis,USA,2008,1,26
Georges Niang,UTA,27,6-7,230,Iowa State,USA,2016,2,50
Giannis Antetokounmpo,MIL,25,6-11,242,None,Greece,2013,1,15
Glenn Robinson III,PHI,26,6-6,222,Michigan,USA,2014,2,40
Goga Bitadze,IND,20,6-11,250,None,Georgia,2019,1,18
Goran Dragic,MIA,34,6-3,190,None,Slovenia,2008,2,45
Gordon Hayward,BOS,30,6-7,225,Butler,USA,2010,1,9
Gorgui Dieng,MEM,30,6-10,252,Louisville,Senegal,2013,1,21
Grant Williams,BOS,21,6-6,236,Tennessee,USA,2019,1,22
Grayson Allen,MEM,24,6-4,198,Duke,USA,2018,1,21
Hamidou Diallo,OKC,21,6-5,202,Kentucky,USA,2018,2,45
Harrison Barnes,SAC,28,6-8,225,North Carolina,USA,2012,1,7
Harry Giles III,SAC,22,6-11,240,Duke,USA,2017,1,20
Hassan Whiteside,POR,31,7-0,265,Marshall,USA,2010,2,33
Henry Ellenson,BKN,23,6-10,240,Marquette,USA,2016,1,18
Ian Mahinmi,WAS,33,6-11,262,None,France,2005,1,28
Ignas Brazdeikis,NYK,21,6-6,221,Michigan,Canada,2019,2,47
Iman Shumpert,BKN,30,6-5,212,Georgia Tech,USA,2011,1,17
Isaac Bonga,WAS,20,6-8,180,None,Germany,2018,2,39
Isaiah Hartenstein,HOU,22,7-0,250,None,Germany,2017,2,43
Isaiah Roby,OKC,22,6-8,230,Nebraska-Lincoln,USA,2019,2,45
Isaiah Thomas,WAS,31,5-9,185,Washington,USA,2011,2,60
Ish Smith,WAS,31,6-0,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted
Ivica Zubac,LAC,23,7-0,240,None,Croatia,2016,2,32
J.J. Barea,DAL,36,5-10,180,Northeastern,Puerto Rico,Undrafted,Undrafted,Undrafted
J.P. Macura,CLE,25,6-4,203,Xavier,USA,2018,,
JJ Redick,NOP,36,6-3,200,Duke,USA,2006,1,11
JR Smith,LAL,34,6-6,220,No College,USA,2004,1,18
Ja Morant,MEM,20,6-3,174,Murray State,USA,2019,1,2
JaKarr Sampson,IND,27,6-7,214,"St. John's, N.Y.",USA,Undrafted,Undrafted,Undrafted
JaMychal Green,LAC,30,6-8,227,Alabama,USA,Undrafted,Undrafted,Undrafted
JaVale McGee,LAL,32,7-0,270,Nevada-Reno,USA,2008,1,18
Jabari Parker,SAC,25,6-8,245,Duke,USA,2014,1,2
Jacob Evans,MIN,23,6-4,210,Cincinnati,USA,2018,1,28
Jae Crowder,MIA,29,6-6,235,Marquette,USA,2012,2,34
Jahlil Okafor,NOP,24,6-10,270,Duke,USA,2015,1,3
Jake Layman,MIN,26,6-8,209,Maryland,USA,2016,2,47
Jakob Poeltl,SAS,24,7-1,245,Utah,Austria,2016,1,9
Jalen Brunson,DAL,23,6-1,190,Villanova,USA,2018,2,33
Jalen Lecque,PHX,20,6-4,185,None,USA,Undrafted,Undrafted,Undrafted
Jalen McDaniels,CHA,22,6-10,205,San Diego State,USA,2019,2,52
Jamal Crawford,BKN,40,6-5,200,Michigan,USA,2000,1,8
Jamal Murray,DEN,23,6-4,215,Kentucky,Canada,2016,1,7
James Ennis III,ORL,29,6-6,215,Cal State-Long Beach,USA,2013,2,50
James Harden,HOU,30,6-5,220,Arizona State,USA,2009,1,3
James Johnson,MIN,33,6-7,240,Wake Forest,USA,2009,1,16
Jared Dudley,LAL,34,6-6,237,Boston College,USA,2007,1,22
Jared Harper,NYK,22,5-10,175,Auburn,USA,Undrafted,Undrafted,Undrafted
Jaren Jackson Jr.,MEM,20,6-11,242,Michigan State,USA,2018,1,4
Jarred Vanderbilt,MIN,21,6-9,214,Kentucky,USA,2018,2,41
Jarrell Brantley,UTA,24,6-5,250,College of Charleston,USA,2019,2,50
Jarrett Allen,BKN,22,6-11,243,Texas-Austin,USA,2017,1,22
Jarrett Culver,MIN,21,6-6,195,Texas Tech,USA,2019,1,6
Jarrod Uthoff,WAS,27,6-9,220,Iowa,USA,Undrafted,Undrafted,Undrafted
Javonte Green,BOS,26,6-4,205,Radford,USA,Undrafted,Undrafted,Undrafted
Jaxson Hayes,NOP,20,6-11,220,Texas-Austin,USA,2019,1,8
Jaylen Brown,BOS,23,6-6,223,California,USA,2016,1,3
Jaylen Hoard,POR,21,6-8,216,Wake Forest,France,Undrafted,Undrafted,Undrafted
Jaylen Nowell,MIN,20,6-4,201,Washington,USA,2019,2,43
Jayson Tatum,BOS,22,6-8,210,Duke,USA,2017,1,3
Jeff Green,HOU,33,6-8,235,Georgetown,USA,2007,1,5
Jeff Teague,ATL,32,6-3,195,Wake Forest,USA,2009,1,19
Jerami Grant,DEN,26,6-8,210,Syracuse,USA,2014,2,39
Jeremiah Martin,BKN,24,6-2,185,Memphis,USA,Undrafted,Undrafted,Undrafted
Jeremy Lamb,IND,28,6-5,180,Connecticut,USA,2012,1,12
Jeremy Pargo,GSW,34,6-2,219,Gonzaga,USA,2009,0,0
Jerian Grant,WAS,27,6-4,198,Notre Dame,USA,2015,1,19
Jerome Robinson,WAS,23,6-4,190,Boston College,USA,2018,1,13
Jevon Carter,PHX,24,6-1,200,West Virginia,USA,2018,2,32
Jimmy Butler,MIA,30,6-7,230,Marquette,USA,2011,1,30
