PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,REB,AST,TOV,STL,BLK,+/-
P.J. Tucker,MIA,37,71,45,26,27.9,7.6,5.5,2.1,0.9,0.8,0.2,3.2
P.J. Washington,CHA,23,65,33,32,27.2,10.3,5.2,2.3,1.3,0.9,0.9,2.2
Paris Bass,PHX,26,2,2,0,3.7,3.0,2.0,0.0,1.0,0.5,0.0,1.0
Pascal Siakam,TOR,28,68,40,28,37.9,22.8,8.5,5.3,2.7,1.3,0.6,3.8
Pat Connaughton,MIL,29,65,41,24,26.0,9.9,4.2,1.3,0.5,0.9,0.2,-0.4
Patrick Beverley,MIN,33,58,33,25,25.4,9.2,4.1,4.6,1.3,1.2,0.9,1.9
Patrick Williams,CHI,20,17,9,8,24.8,9.0,4.1,0.9,0.9,0.5,0.5,-3.3
Patty Mills,BKN,33,81,44,37,29.0,11.4,1.9,2.3,0.9,0.6,0.2,1.4
Paul George,LAC,32,31,18,13,34.8,24.3,6.9,5.7,4.1,2.2,0.4,3.0
Paul Millsap,PHI,37,33,22,11,11.4,3.5,3.5,0.9,0.6,0.3,0.4,-0.7
Paul Reed,PHI,22,38,21,17,8.0,3.1,2.4,0.4,0.3,0.9,0.4,-1.1
Paul Watson,OKC,27,9,2,7,17.4,3.4,3.0,0.9,0.4,0.3,0.3,-6.2
Payton Pritchard,BOS,24,71,46,25,14.1,6.2,1.9,2.0,0.6,0.4,0.1,0.9
Petr Cornelie,DEN,26,13,3,10,2.9,1.1,1.1,0.2,0.3,0.1,0.1,0.6
Precious Achiuwa,TOR,22,73,46,27,23.6,9.1,6.5,1.1,1.2,0.5,0.6,1.0
Quentin Grimes,NYK,21,46,21,25,17.1,6.0,2.0,1.0,0.6,0.7,0.2,-1.2
Quinndary Weatherspoon,GSW,25,11,8,3,6.7,2.7,1.3,0.5,0.3,0.1,0.1,-0.9
R.J. Hampton,ORL,21,64,15,49,21.9,7.6,3.0,2.5,1.4,0.7,0.2,-6.5
Rajon Rondo,CLE,36,39,16,23,17.9,4.8,2.8,4.4,1.7,0.8,0.2,-2.8
Raul Neto,WAS,29,70,29,41,19.6,7.5,1.9,3.1,1.1,0.8,0.0,-1.2
Rayjon Tucker,MIL,24,5,2,3,14.2,4.2,1.6,2.0,0.2,0.8,0.0,-0.4
Reggie Bullock,DAL,31,68,44,24,28.0,8.6,3.5,1.2,0.6,0.6,0.2,4.0
Reggie Jackson,LAC,32,75,38,37,31.2,16.8,3.6,4.8,2.3,0.7,0.2,-0.9
Reggie Perry,POR,22,10,0,10,18.7,9.2,4.7,1.2,1.1,0.9,0.6,-7.8
Richaun Holmes,SAC,28,45,16,29,23.9,10.4,7.0,1.1,1.2,0.4,0.9,-3.0
Ricky Rubio,IND,31,34,20,14,28.5,13.1,4.1,6.6,2.6,1.4,0.2,5.4
RJ Barrett,NYK,21,70,33,37,34.5,20.0,5.8,3.0,2.2,0.6,0.2,-2.1
RJ Nembhard Jr.,CLE,23,14,6,8,4.5,1.1,0.5,0.9,0.2,0.1,0.0,-0.5
Rob Edwards,OKC,25,2,0,2,5.4,1.5,1.5,0.0,0.5,0.0,0.0,-7.0
Robert Covington,LAC,31,71,34,37,27.3,8.5,5.5,1.3,1.1,1.5,1.3,0.5
Robert Williams III,BOS,24,61,40,21,29.6,10.0,9.6,2.0,1.0,0.9,2.2,6.1
